"category_code";"category_name";"price";"price_year_prev";"price_year";"price_quarter";"price_growth";"price_growth_unit";"czechia_price_value_prev";"czechia_price_value"
112401;Kuøata kuchaná celá; Kè / 1 kg;2007;2008;1;34.26;%;45.89;61.61
111303;Peèivo pšenièné bílé; Kè / 1 kg;2007;2008;1;31.85;%;41.67;54.94
117106;Mrkev; Kè / 1 kg;2007;2008;4;-1.05;%;12.39;12.26
114401;Jogurt bílý netuèný; Kè / 150 g;2007;2008;3;10.03;%;5.78;6.36
116103;Banány žluté; Kè / 1 kg;2007;2008;3;-3.3;%;28.47;27.53
118101;Cukr krystalový; Kè / 1 kg;2007;2008;4;-5.11;%;21.52;20.42
114701;Vejce slepièí èerstvá; Kè / 10 ks;2007;2008;3;13.14;%;23.36;26.43
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2007;2008;3;-7.34;%;31.2;28.91
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2007;2008;4;4.97;%;8.65;9.08
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2007;2008;3;30.14;%;67.78;88.21
111602;Tìstoviny vajeèné; Kè / 1 kg;2007;2008;4;7.55;%;28.74;30.91
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2007;2008;4;54.79;%;24.42;37.8
112201;Vepøová peèenì s kostí; Kè / 1 kg;2007;2008;4;4.44;%;104.11;108.73
111301;Chléb konzumní kmínový; Kè / 1 kg;2007;2008;4;5.87;%;21.11;22.35
112704;Šunkový salám; Kè / 1 kg;2007;2008;4;5.18;%;114.82;120.77
117106;Mrkev; Kè / 1 kg;2007;2008;3;27.29;%;14.0;17.82
114401;Jogurt bílý netuèný; Kè / 150 g;2007;2008;2;6.31;%;5.86;6.23
116103;Banány žluté; Kè / 1 kg;2007;2008;2;-2.42;%;32.19;31.41
118101;Cukr krystalový; Kè / 1 kg;2007;2008;3;-5.27;%;21.82;20.67
114701;Vejce slepièí èerstvá; Kè / 10 ks;2007;2008;2;19.89;%;23.58;28.27
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2007;2008;2;-12.35;%;40.16;35.2
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2007;2008;3;5.39;%;8.54;9.0
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2007;2008;2;23.68;%;68.5;84.72
2000001;Kapr živý; Kè / 1 kg;2007;2008;4;1.76;%;78.98;80.37
111602;Tìstoviny vajeèné; Kè / 1 kg;2007;2008;3;19.25;%;26.03;31.04
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2007;2008;3;54.56;%;23.92;36.97
112201;Vepøová peèenì s kostí; Kè / 1 kg;2007;2008;3;5.04;%;103.87;109.1
111301;Chléb konzumní kmínový; Kè / 1 kg;2007;2008;3;21.53;%;18.86;22.92
112704;Šunkový salám; Kè / 1 kg;2007;2008;3;1.86;%;116.83;119.0
117106;Mrkev; Kè / 1 kg;2007;2008;2;31.94;%;15.78;20.82
114401;Jogurt bílý netuèný; Kè / 150 g;2007;2008;1;6.67;%;5.85;6.24
116103;Banány žluté; Kè / 1 kg;2007;2008;1;5.82;%;32.46;34.35
118101;Cukr krystalový; Kè / 1 kg;2007;2008;2;-3.49;%;22.04;21.27
114701;Vejce slepièí èerstvá; Kè / 10 ks;2007;2008;1;28.93;%;23.78;30.66
117101;Rajská jablka èervená kulatá; Kè / 1 kg;2007;2008;1;-11.28;%;44.75;39.7
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2007;2008;2;5.06;%;8.49;8.92
115201;Rostlinný roztíratelný tuk; Kè / 1 kg;2007;2008;1;13.16;%;69.01;78.09
111602;Tìstoviny vajeèné; Kè / 1 kg;2007;2008;2;18.82;%;26.09;31.0
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2007;2008;2;30.55;%;23.73;30.98
112201;Vepøová peèenì s kostí; Kè / 1 kg;2007;2008;2;5.03;%;100.29;105.33
111301;Chléb konzumní kmínový; Kè / 1 kg;2007;2008;2;25.75;%;18.29;23.0
112704;Šunkový salám; Kè / 1 kg;2007;2008;2;2.09;%;116.96;119.41
117106;Mrkev; Kè / 1 kg;2007;2008;1;2.76;%;14.5;14.9
116101;Pomeranèe; Kè / 1 kg;2007;2008;4;-7.91;%;30.34;27.94
114501;Eidamská cihla; Kè / 1 kg;2007;2008;4;-16.45;%;148.84;124.36
118101;Cukr krystalový; Kè / 1 kg;2007;2008;1;-2.38;%;22.26;21.73
116104;Jablka konzumní; Kè / 1 kg;2007;2008;4;-11.73;%;29.06;25.65
115101;Máslo; Kè / 1 kg;2007;2008;4;-25.47;%;145.52;108.46
117103;Papriky; Kè / 1 kg;2007;2008;4;-23.3;%;66.02;50.64
213201;Pivo výèepní, svìtlé, lahvové; Kè / 0,5 l;2007;2008;1;6.45;%;8.37;8.91
111602;Tìstoviny vajeèné; Kè / 1 kg;2007;2008;1;16.12;%;25.99;30.18
111101;Rýže loupaná dlouhozrnná; Kè / 1 kg;2007;2008;1;16.66;%;23.41;27.31
