"av_wages_year_prev";"av_wages_year";"av_wages_quarter";"calculation_type";"calculation_code";"industry";"average_wages_growth";"average_wages_value_prev";"average_wages_value"
2012;2013;3;pøepoètenı;200;Tìba a dobıvání;3.00;29054;29925
2013;2014;2;pøepoètenı;200;Ubytování, stravování a pohostinství;2.04;13637;13915
2013;2014;2;pøepoètenı;200;Penìnictví a pojišovnictví;3.58;47063;48750
2013;2014;1;pøepoètenı;200;Vzdìlávání;1.89;22691;23119
2013;2014;1;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";2.95;22105;22757
2013;2014;4;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;3.93;23286;24201
2013;2014;4;pøepoètenı;200;Administrativní a podpùrné èinnosti;-0.31;17538;17483
2013;2014;4;pøepoètenı;200;Zpracovatelskı prùmysl;3.67;26165;27125
2013;2014;4;pøepoètenı;200;Èinnosti v oblasti nemovitostí;1.55;22909;23265
2013;2014;3;pøepoètenı;200;Stavebnictví;2.78;22553;23179
2013;2014;3;pøepoètenı;200;Ostatní èinnosti;0.86;19785;19955
2013;2014;3;pøepoètenı;200;Doprava a skladování;0.73;23524;23696
2013;2014;2;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;2.72;31455;32312
2013;2014;2;pøepoètenı;200;Tìba a dobıvání;2.68;30040;30844
2013;2014;1;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";3.46;22472;23249
2013;2014;1;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;4.21;19642;20468
2013;2014;4;pøepoètenı;200;Vzdìlávání;3.14;27830;28704
2013;2014;4;pøepoètenı;200;"Zásobování vodou; èinnosti související s odpady a sanacemi";3.15;26043;26864
2013;2014;3;pøepoètenı;200;Informaèní a komunikaèní èinnosti;3.50;45641;47239
2013;2014;2;pøepoètenı;200;Vıroba a rozvod elektøiny, plynu, tepla a klimatiz. vzduchu;0.54;39311;39522
2013;2014;2;pøepoètenı;200;Zdravotní a sociální péèe;1.99;24986;25483
2013;2014;2;pøepoètenı;200;"Veøejná správa a obrana; povinné sociální zabezpeèení";1.68;26725;27174
2013;2014;1;pøepoètenı;200;Ubytování, stravování a pohostinství;2.27;13276;13578
2013;2014;1;pøepoètenı;200;Penìnictví a pojišovnictví;10.22;47411;52257
2013;2014;4;pøepoètenı;200;"Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel";2.76;24229;24898
2013;2014;4;pøepoètenı;200;Kulturní, zábavní a rekreaèní èinnosti;3.72;21940;22756
2013;2014;3;pøepoètenı;200;Administrativní a podpùrné èinnosti;0.31;16885;16938
2013;2014;3;pøepoètenı;200;Zpracovatelskı prùmysl;2.88;24389;25092
2013;2014;3;pøepoètenı;200;Èinnosti v oblasti nemovitostí;2.15;21514;21977
2013;2014;3;pøepoètenı;200;Zemìdìlství, lesnictví, rybáøství;3.14;20986;21644
2013;2014;2;pøepoètenı;200;Stavebnictví;2.10;22276;22743
2013;2014;2;pøepoètenı;200;Ostatní èinnosti;2.17;19792;20221
2013;2014;2;pøepoètenı;200;Doprava a skladování;2.04;23187;23660
2013;2014;1;pøepoètenı;200;Profesní, vìdecké a technické èinnosti;3.23;30836;31832
